Filename	Area	Mean	Min	Max	Median
072317_07_R3D_w523_t015.tif	40443	156.785451129	42	235	173
072317_07_R3D_w523_t016.tif	40637	156.357383665	42	235	173
072317_07_R3D_w523_t017.tif	40841	155.113880659	42	234	171
072317_07_R3D_w523_t018.tif	41096	153.396753942	42	234	170
072317_07_R3D_w523_t019.tif	41205	151.684844072	42	232	168
072317_07_R3D_w523_t020.tif	41398	149.955746654	42	230	166
072317_07_R3D_w523_t021.tif	41429	147.975596804	42	229	164
072317_07_R3D_w523_t022.tif	41586	146.302168999	42	226	162
072317_07_R3D_w523_t023.tif	41708	144.233336530	42	224	159
072317_07_R3D_w523_t024.tif	41844	142.826641812	42	223	157
072317_07_R3D_w523_t025.tif	41957	141.407440951	42	221	156
072317_07_R3D_w523_t026.tif	42091	140.083675845	42	219	154
072317_07_R3D_w523_t027.tif	42105	138.486854293	42	217	152
072317_07_R3D_w523_t028.tif	42310	137.480335618	42	216	151
072317_07_R3D_w523_t029.tif	42301	135.369873053	42	213	149
072317_07_R3D_w523_t030.tif	42324	133.801601928	42	210	147
072317_07_R3D_w523_t031.tif	42416	132.251108072	42	209	145
072317_07_R3D_w523_t032.tif	42486	130.568587299	42	206	143
072317_07_R3D_w523_t033.tif	42464	128.630416353	42	203	140
072317_07_R3D_w523_t034.tif	42613	127.120949006	42	200	138
072317_07_R3D_w523_t035.tif	42611	124.981929549	42	197	136
072317_07_R3D_w523_t036.tif	42792	123.996331090	42	195	135
072317_07_R3D_w523_t037.tif	43199	123.549781245	42	197	134
072317_07_R3D_w523_t038.tif	43256	121.380062881	42	193	131
072317_07_R3D_w523_t039.tif	43362	119.390641576	42	191	129
072317_07_R3D_w523_t040.tif	43417	117.050901721	42	187	126
072317_07_R3D_w523_t041.tif	43772	114.987389199	42	183	124
072317_07_R3D_w523_t042.tif	43546	112.349125063	42	178	121
072317_07_R3D_w523_t043.tif	43719	110.163727441	42	176	118
072317_07_R3D_w523_t044.tif	43757	107.702721850	42	173	115
072317_07_R3D_w523_t045.tif	43362	105.134495641	42	166	112
072317_07_R3D_w523_t046.tif	43290	102.821344421	42	162	109
072317_07_R3D_w523_t047.tif	43108	100.557576320	42	157	107
072317_07_R3D_w523_t048.tif	42710	98.270849918	42	153	104
072317_07_R3D_w523_t049.tif	42291	95.976448890	42	149	102
072317_07_R3D_w523_t050.tif	41767	93.583594704	42	144	99
072317_07_R3D_w523_t051.tif	41173	91.137590168	42	139	96
072317_07_R3D_w523_t052.tif	40689	88.751873971	42	135	93
072317_07_R3D_w523_t053.tif	40108	86.174778099	42	130	90
072317_07_R3D_w523_t054.tif	39617	83.867556857	42	125	88
072317_07_R3D_w523_t055.tif	38567	80.878056369	42	118	84
072317_07_R3D_w523_t056.tif	37998	78.888730986	42	114	82
072317_07_R3D_w523_t057.tif	37031	76.466312009	42	110	79
072317_07_R3D_w523_t058.tif	36433	74.472511185	42	107	77
072317_07_R3D_w523_t059.tif	35345	71.942509549	42	101	74
072317_07_R3D_w523_t060.tif	34662	69.841036293	42	97	72
072317_07_R3D_w523_t061.tif	33776	67.581714827	42	92	69
072317_07_R3D_w523_t062.tif	32951	65.376710874	42	88	67
072317_07_R3D_w523_t063.tif	31930	62.858502975	42	84	64
072317_07_R3D_w523_t064.tif	31149	60.975408520	42	81	62
072317_07_R3D_w523_t065.tif	30081	58.859978059	42	77	60
072317_07_R3D_w523_t066.tif	29134	57.196746070	42	75	58
072317_07_R3D_w523_t067.tif	28076	55.409032626	42	71	56
072317_07_R3D_w523_t068.tif	26772	53.539369491	42	67	54
072317_07_R3D_w523_t069.tif	24645	51.503915602	42	64	52
072317_07_R3D_w523_t070.tif	23399	50.388264456	42	62	51
072317_07_R3D_w523_t071.tif	21353	48.814686461	42	59	49
072317_07_R3D_w523_t072.tif	19081	47.411089566	42	56	47
072317_07_R3D_w523_t073.tif	16877	46.368726669	42	54	46
072317_07_R3D_w523_t074.tif	13737	45.280119386	42	52	45
072317_07_R3D_w523_t075.tif	11112	44.318214543	42	50	44
072317_07_R3D_w523_t076.tif	7596	43.412717220	42	48	43
072317_07_R3D_w523_t077.tif	4322	42.590698751	42	46	42
072317_07_R3D_w523_t078.tif	866	42.147806005	42	45	42
072317_07_R3D_w523_t079.tif	40	42.025000000	42	43	42
072317_07_R3D_w523_t080.tif	0	NaN	255	41	255
072317_07_R3D_w523_t081.tif	0	NaN	255	39	255
072317_07_R3D_w523_t082.tif	0	NaN	255	38	255
072317_07_R3D_w523_t083.tif	0	NaN	255	37	255
072317_07_R3D_w523_t084.tif	0	NaN	255	35	255
072317_07_R3D_w523_t085.tif	0	NaN	255	34	255
072317_07_R3D_w523_t086.tif	0	NaN	255	33	255
072317_07_R3D_w523_t087.tif	0	NaN	255	32	255
072317_07_R3D_w523_t088.tif	0	NaN	255	31	255
072317_07_R3D_w523_t089.tif	0	NaN	255	30	255
072317_07_R3D_w523_t090.tif	0	NaN	255	29	255
072317_07_R3D_w523_t091.tif	0	NaN	255	29	255
072317_07_R3D_w523_t092.tif	0	NaN	255	27	255
072317_07_R3D_w523_t093.tif	0	NaN	255	27	255
072317_07_R3D_w523_t094.tif	0	NaN	255	26	255
072317_07_R3D_w523_t095.tif	0	NaN	255	26	255
072317_07_R3D_w523_t096.tif	0	NaN	255	26	255
072317_07_R3D_w523_t097.tif	0	NaN	255	26	255
072317_07_R3D_w523_t098.tif	0	NaN	255	26	255
072317_07_R3D_w523_t099.tif	0	NaN	255	26	255
072317_07_R3D_w523_t100.tif	0	NaN	255	26	255
072317_07_R3D_w523_t101.tif	0	NaN	255	26	255
072317_07_R3D_w523_t102.tif	0	NaN	255	25	255
072317_07_R3D_w523_t103.tif	0	NaN	255	25	255
072317_07_R3D_w523_t104.tif	0	NaN	255	25	255
072317_07_R3D_w523_t105.tif	0	NaN	255	25	255
072317_07_R3D_w523_t106.tif	0	NaN	255	24	255
072317_07_R3D_w523_t107.tif	0	NaN	255	25	255
072317_07_R3D_w523_t108.tif	0	NaN	255	24	255
072317_07_R3D_w523_t109.tif	0	NaN	255	23	255
072317_07_R3D_w523_t110.tif	0	NaN	255	23	255
072317_07_R3D_w523_t111.tif	0	NaN	255	22	255
072317_07_R3D_w523_t112.tif	0	NaN	255	22	255
072317_07_R3D_w523_t113.tif	0	NaN	255	21	255
072317_07_R3D_w523_t114.tif	0	NaN	255	21	255
072317_07_R3D_w523_t115.tif	0	NaN	255	21	255
072317_07_R3D_w523_t116.tif	0	NaN	255	21	255
072317_07_R3D_w523_t117.tif	0	NaN	255	21	255
072317_07_R3D_w523_t118.tif	0	NaN	255	20	255
072317_07_R3D_w523_t119.tif	0	NaN	255	20	255
072317_07_R3D_w523_t120.tif	0	NaN	255	20	255
072317_07_R3D_w523_t121.tif	0	NaN	255	20	255
072317_07_R3D_w523_t122.tif	0	NaN	255	20	255
072317_07_R3D_w523_t123.tif	0	NaN	255	20	255
072317_07_R3D_w523_t124.tif	0	NaN	255	20	255
072317_07_R3D_w523_t125.tif	0	NaN	255	20	255
072317_07_R3D_w523_t126.tif	0	NaN	255	20	255
072317_07_R3D_w523_t127.tif	0	NaN	255	20	255
072317_07_R3D_w523_t128.tif	0	NaN	255	20	255
072317_07_R3D_w523_t129.tif	0	NaN	255	20	255
072317_07_R3D_w523_t130.tif	0	NaN	255	19	255
072317_07_R3D_w523_t131.tif	0	NaN	255	20	255
072317_07_R3D_w523_t132.tif	0	NaN	255	19	255
072317_07_R3D_w523_t133.tif	0	NaN	255	19	255
072317_09_R3D_w523_t001.tif	21683	113.880459346	42	239	102
072317_09_R3D_w523_t002.tif	20688	114.395011601	42	235	105
072317_09_R3D_w523_t003.tif	20235	114.059550284	42	234	105
072317_09_R3D_w523_t004.tif	19898	113.455271887	42	232	105
072317_09_R3D_w523_t005.tif	19578	112.666258045	42	228	105
072317_09_R3D_w523_t006.tif	19423	111.929619523	42	227	104
072317_09_R3D_w523_t007.tif	19549	111.250396440	42	228	103
072317_09_R3D_w523_t008.tif	19719	110.319133830	42	225	102
072317_09_R3D_w523_t009.tif	19904	109.169413183	42	223	100
072317_09_R3D_w523_t010.tif	20051	107.675128423	42	221	99
072317_09_R3D_w523_t011.tif	20086	106.335806034	42	219	97
072317_09_R3D_w523_t012.tif	20165	104.690304984	42	214	96
072317_09_R3D_w523_t013.tif	20337	103.231990952	42	210	94
072317_09_R3D_w523_t014.tif	20518	101.396237450	42	207	92
072317_09_R3D_w523_t015.tif	20853	99.618424208	42	204	90
072317_09_R3D_w523_t016.tif	20874	97.572434608	42	199	88
072317_09_R3D_w523_t017.tif	20472	95.374706917	42	191	87
072317_09_R3D_w523_t018.tif	20085	92.837092357	42	183	86
072317_09_R3D_w523_t019.tif	19812	90.213204119	42	176	84
072317_09_R3D_w523_t020.tif	19463	87.552021785	42	169	82
072317_09_R3D_w523_t021.tif	18763	84.651015296	42	159	80
072317_09_R3D_w523_t022.tif	18210	81.859362987	42	151	78
072317_09_R3D_w523_t023.tif	17280	79.289583333	42	140	76
072317_09_R3D_w523_t024.tif	16258	76.905830976	42	133	75
072317_09_R3D_w523_t025.tif	15501	74.179343268	42	125	72
072317_09_R3D_w523_t026.tif	14666	71.492226919	42	118	70
072317_09_R3D_w523_t027.tif	13780	68.708563135	42	110	68
072317_09_R3D_w523_t028.tif	13167	66.149388623	42	104	65
072317_09_R3D_w523_t029.tif	12171	63.396351984	42	95	63
072317_09_R3D_w523_t030.tif	11273	60.620686596	42	89	60
072317_09_R3D_w523_t031.tif	10457	58.016161423	42	83	58
072317_09_R3D_w523_t032.tif	9607	55.450400749	42	77	55
072317_09_R3D_w523_t033.tif	8551	53.234358555	42	71	53
072317_09_R3D_w523_t034.tif	7449	51.018123238	42	66	51
072317_09_R3D_w523_t035.tif	6179	48.904191617	42	63	49
072317_09_R3D_w523_t036.tif	5205	47.259942363	42	57	47
072317_09_R3D_w523_t037.tif	4002	45.890804598	42	55	46
072317_09_R3D_w523_t038.tif	2754	44.420116195	42	51	44
072317_09_R3D_w523_t039.tif	1442	43.067961165	42	48	43
072317_09_R3D_w523_t040.tif	297	42.356902357	42	45	42
072317_09_R3D_w523_t041.tif	9	42.111111111	42	43	42
